sequence,sequence_as_text,freq,dl_model,dl_data,dl_total
[0 13 12],[t a r],1726,22499.80979905393,2.0990586197103877e+07,2.101308600690293e+07
[0 13 17],[t a i],2173,22291.501863133017,2.098446161732781e+07,2.1006753119190942e+07
[0 13 22],[t a k],1376,22191.271565100487,2.0988473446696393e+07,2.1010664718261495e+07
[0 13 27],[t a b],1175,22319.141700250122,2.098963933579686e+07,2.101195847749711e+07
[0 16 3],[t s  ],10769,22881.992796586845,2.097053854283774e+07,2.0993420535634328e+07
[0 17 0],[t i t],1304,22378.75371543504,2.0992294508916013e+07,2.1014673262631446e+07
[0 17 2],[t i e],1888,22369.17812537281,2.0988888605228942e+07,2.1011257783354316e+07
[0 17 4],[t i f],702,22193.40615298143,2.0991778230696052e+07,2.1013971636849035e+07
[0 17 6],[t i l],1772,22403.490913364098,2.099182696276122e+07,2.1014230453674585e+07
[0 17 7],[t i o],17757,22135.035217273915,2.0882803220684815e+07,2.090493825590209e+07
[0 17 8],[t i n],5718,22461.37628065507,2.0989140366928425e+07,2.101160174320908e+07
[0 17 9],[t i c],4381,22326.190827070895,2.0984469260006614e+07,2.1006795450833686e+07
[0 17 13],[t i a],1116,22230.8113520304,2.099162581187207e+07,2.10138566232241e+07
[0 17 16],[t i s],1046,22432.663299192922,2.0994095150603015e+07,2.1016527813902207e+07
[0 17 18],[t i v],2965,22127.221879939258,2.0986517883716125e+07,2.1008645105596066e+07
[0 17 21],[t i m],3141,22429.485295387563,2.098870746613975e+07,2.1011136951435138e+07
[0 19 16],[t XXX s],1064,22413.417236503716,2.098956520246427e+07,2.1011978619700775e+07
[0 21 2],[t m e],839,22135.028871021754,2.0988324971518774e+07,2.1010460000389796e+07
[0 26 2],[t w e],1040,22215.77295868646,2.0986793452417124e+07,2.100900922537581e+07
[0 26 7],[t w o],1586,22251.241999874255,2.0984663889756553e+07,2.100691513175643e+07
[1 0 3],[h t  ],4403,22480.51199928977,2.0966185593186866e+07,2.0988666105186157e+07
[1 2 3],[h e  ],82527,22731.082135804554,2.0867363537366886e+07,2.089009461950269e+07
[1 2 6],[h e l],1526,22359.63867086702,2.0992441804200266e+07,2.101480144287113e+07
[1 2 8],[h e n],4498,22490.188301618153,2.0992401050961778e+07,2.1014891239263397e+07
[1 2 10],[h e y],3805,22037.919129691152,2.09861633665131e+07,2.100820128564279e+07
[1 2 12],[h e r],15854,22490.83741056949,2.0997125155502453e+07,2.1019615992913023e+07
[1 2 13],[h e a],2731,22430.138446762783,2.0991542834189303e+07,2.1013972972636066e+07
[1 2 14],[h e d],1892,22170.7402415968,2.099497088416058e+07,2.1017141624402177e+07
[1 2 16],[h e s],2953,22250.138424308127,2.0998118612987194e+07,2.10203687514115e+07
[1 2 17],[h e i],2851,22210.737422186343,2.097825782477253e+07,2.1000468562194716e+07
[1 2 21],[h e m],2451,22267.835123073844,2.099157435410264e+07,2.1013842189225715e+07
[1 3 0],[h   t],4392,22246.52214420504,2.099007945367782e+07,2.1012325975822024e+07
[1 3 1],[h   h],1533,22174.06251474964,2.099305257402414e+07,2.101522663653889e+07
[1 3 4],[h   f],706,22104.551120717908,2.0993528567196652e+07,2.101563311831737e+07
[1 3 7],[h   o],1512,22305.401330342447,2.0992826680801347e+07,2.1015132082131688e+07
[1 3 9],[h   c],1220,22175.18069386053,2.0993626634588264e+07,2.1015801815282125e+07
[1 3 13],[h   a],3676,22488.3962433491,2.0991095034985717e+07,2.1013583431229066e+07
[1 3 16],[h   s],1535,22392.149558483965,2.0992688081237074e+07,2.101508023079556e+07
[1 3 17],[h   i],1563,22241.380152661914,2.0992694126316734e+07,2.1014935506469395e+07
[1 3 20],[h   p],796,22166.419292771996,2.0993810842487216e+07,2.1015977261779986e+07
[1 3 21],[h   m],993,22141.923384645313,2.099320012625866e+07,2.1015342049643304e+07
[1 3 23],[h   .],978,22532.714358211662,2.0994326198405877e+07,2.1016858912764087e+07
[1 3 25],[h   ,],1296,22125.120548734576,2.0994170843781892e+07,2.101629596433063e+07
[1 3 26],[h   w],1302,22208.246137200724,2.099364636679581e+07,2.1015854612933014e+07
[1 5 12],[h u r],763,22223.121963961396,2.0989757076905925e+07,2.1011980198869888e+07
[1 5 16],[h u s],633,22090.153367792518,2.099234309579867e+07,2.1014433249166463e+07
[1 7 0],[h o t],621,22202.639242239653,2.0992838184270423e+07,2.1015040823512662e+07
[1 7 3],[h o  ],2286,22421.339912819465,2.098607946292119e+07,2.100850080283401e+07
[1 7 5],[h o u],4761,22422.224205799994,2.09846786395039e+07,2.10071008637097e+07
[1 7 6],[h o l],1681,22495.725073480262,2.0990992277455296e+07,2.1013488002528775e+07
