sequence,sequence_as_text,freq,dl_model,dl_data,dl_total
[22 2 0],[k e t],679,22222.010044374012,2.0991845446502343e+07,2.1014067456546716e+07
[22 2 3],[k e  ],3856,22683.30887946319,2.0988182217551198e+07,2.1010865526430663e+07
[22 2 8],[k e n],975,22372.070530811045,2.0992867114037264e+07,2.1015239184568074e+07
[22 2 12],[k e r],784,22398.808624915735,2.099368460183923e+07,2.1016083410464145e+07
[22 2 14],[k e d],2177,22236.608117524742,2.0990066564380758e+07,2.1012303172498282e+07
[22 3 0],[k   t],1057,22263.898380801427,2.0993399161484715e+07,2.1015663059865516e+07
[22 3 7],[k   o],990,22290.731320049137,2.099220904171606e+07,2.101449977303611e+07
[22 3 13],[k   a],1061,22410.845378143313,2.0993716377067734e+07,2.1016127222445875e+07
[22 3 17],[k   i],615,22213.353089530403,2.0993350300985087e+07,2.1015563654074617e+07
[22 3 23],[k   .],767,22589.211854002635,2.0993288978730906e+07,2.101587819058491e+07
[22 3 25],[k   ,],902,22157.55928097779,2.0993528403498147e+07,2.1015685962779123e+07
[22 8 2],[k n e],704,22131.476880367456,2.0989408705267176e+07,2.1011540182147544e+07
[22 8 7],[k n o],1443,22158.76208256487,2.097967557663509e+07,2.1001834338717654e+07
[22 16 3],[k s  ],1497,22564.585520653207,2.0991242147445355e+07,2.101380673296601e+07
[22 17 8],[k i n],2885,22458.85968892278,2.0985404501729734e+07,2.1007863361418657e+07
[23 0 1],[. t h],10306,22165.95634396165,2.097275705562033e+07,2.099492301196429e+07
[23 1 2],[. h e],3123,22076.019446427217,2.0990022857116118e+07,2.1012098876562547e+07
[23 4 7],[. f o],659,22002.644077123106,2.099159085004057e+07,2.1013593494117692e+07
[23 7 8],[. o n],829,21923.46289639921,2.0991413347040158e+07,2.1013336809936557e+07
[23 8 7],[. n o],749,22058.229894503776,2.098989246913811e+07,2.1011950699032612e+07
[23 13 3],[. a  ],976,22298.93581352942,2.0992263819409862e+07,2.1014562755223393e+07
[23 13 8],[. a n],1146,22044.831890143854,2.0992718665532187e+07,2.101476349742233e+07
[23 16 1],[. s h],916,21926.421850839317,2.0991342640796006e+07,2.1013269062646843e+07
[23 16 7],[. s o],614,22084.889994914745,2.0991761203124385e+07,2.10138460931193e+07
[23 17 0],[. i t],2001,21893.138330270245,2.0988341020126462e+07,2.101023415845673e+07
[23 17 3],[. i  ],1197,22253.367322056383,2.098970026910166e+07,2.101195363642372e+07
[23 17 4],[. i f],612,21846.307989459987,2.0992064185825557e+07,2.1013910493815016e+07
[23 17 8],[. i n],1878,22141.655975922164,2.09925121272632e+07,2.1014653783239122e+07
[23 19 19],[. XXX XXX],3627,22183.443137266346,2.0983646574528623e+07,2.100583001766589e+07
[23 26 1],[. w h],1138,21933.132711471877,2.0992362987017006e+07,2.1014296119728476e+07
[23 26 2],[. w e],637,22065.361089850034,2.0993067990765788e+07,2.101513335185564e+07
[23 27 5],[. b u],1262,22046.216902780016,2.098797719509414e+07,2.101002341199692e+07
[24 20 2],[x p e],1370,21926.0110607938,2.0988953902052507e+07,2.10108799131133e+07
[25 3 0],[,   t],8094,22019.189424918237,2.099527499029623e+07,2.1017294179721147e+07
[25 3 1],[,   h],3564,21970.616830805415,2.0995772579798058e+07,2.1017743196628865e+07
[25 3 2],[,   e],1190,22221.98011116032,2.0993164702155977e+07,2.1015386682267137e+07
[25 3 4],[,   f],1796,22056.472153673472,2.099447948416288e+07,2.1016535956316553e+07
[25 3 6],[,   l],1010,21989.956365566395,2.0994268809635803e+07,2.101625876600137e+07
[25 3 7],[,   o],2274,22227.492575664433,2.0996678767570402e+07,2.1018906260146067e+07
[25 3 8],[,   n],1110,22026.472477758816,2.0992009991004456e+07,2.1014036463482216e+07
[25 3 9],[,   c],1691,22075.778015191165,2.0995767135479663e+07,2.1017842913494855e+07
[25 3 11],[,   g],615,22022.090890003667,2.099412413030443e+07,2.1016146221194435e+07
[25 3 12],[,   r],1043,21990.559986850156,2.0994413088935275e+07,2.1016403648922123e+07
[25 3 13],[,   a],11140,22272.85844890559,2.0987416355942946e+07,2.100968921439185e+07
[25 3 14],[,   d],1265,22132.586703235298,2.0993703671825174e+07,2.101583625852841e+07
[25 3 16],[,   s],3520,22179.6658990555,2.099398013275917e+07,2.1016159798658226e+07
[25 3 17],[,   i],4314,22149.461597506728,2.0993008424135316e+07,2.1015157885732822e+07
[25 3 19],[,   XXX],1255,22087.888763292078,2.0993975357528802e+07,2.1016063246292096e+07
[25 3 20],[,   p],1643,22068.676169308736,2.099583856776026e+07,2.101790724392957e+07
[25 3 21],[,   m],1808,22004.378783230633,2.0994439787390683e+07,2.1016444166173913e+07
[25 3 26],[,   w],4837,22019.44145028201,2.0993909105597265e+07,2.1015928547047548e+07
[25 3 27],[,   b],3432,22035.946620069466,2.0992594515480552e+07,2.101463046210062e+07
[26 1 2],[w h e],4120,22201.993024927364,2.0990953754326437e+07,2.1013155747351363e+07
[26 1 7],[w h o],3081,22135.102831031618,2.098411348085067e+07,2.1006248583681703e+07
[26 1 13],[w h a],2237,22166.32615280879,2.0989058951906823e+07,2.101122527805963e+07
[26 1 17],[w h i],4999,22306.734778789618,2.0976449126673408e+07,2.0998755861452196e+07
[26 2 2],[w e e],1448,22166.637367383202,2.0983294882313255e+07,2.1005461519680638e+07
[26 2 3],[w e  ],2693,22559.91388082998,2.099579144584164e+07,2.101835135972247e+07
[26 2 6],[w e l],1490,22405.19651779966,2.0988744982757404e+07,2.1011150179275203e+07
[26 2 8],[w e n],784,22085.517352063373,2.0992451305269845e+07,2.1014536822621908e+07
[26 2 12],[w e r],4699,22238.039083949167,2.0985761694488224e+07,2.1007999733572174e+07
[26 2 14],[w e d],795,22183.749778900004,2.0993408157922693e+07,2.1015591907701593e+07
[26 3 0],[w   t],1187,22021.06067109816,2.099163645123051e+07,2.101365751190161e+07
[26 3 13],[w   a],724,22265.23804739125,2.0993054121207606e+07,2.1015319359254997e+07
[26 3 25],[w   ,],655,21919.148190266438,2.099284357434454e+07,2.1014762722534806e+07
[26 7 3],[w o  ],1429,22419.862530255676,2.0986759210381884e+07,2.1009179072912138e+07
[26 7 5],[w o u],2912,21948.947951705453,2.0980929341964345e+07,2.100287828991605e+07
[26 7 12],[w o r],3556,22463.465850960667,2.0976927057003174e+07,2.0999390522854134e+07
[26 8 3],[w n  ],2995,22508.01718687697,2.0981806985383615e+07,2.100431500257049e+07
[26 12 17],[w r i],760,22161.47066244254,2.0989973688173056e+07,2.1012135158835497e+07
[26 13 0],[w a t],960,22250.78309024737,2.0992623884513926e+07,2.1014874667604174e+07
[26 13 6],[w a l],871,22345.08966967224,2.0992414687618542e+07,2.1014759777288213e+07
[26 13 8],[w a n],772,22264.090223847885,2.0994343653480828e+07,2.1016607743704677e+07
[26 13 10],[w a y],2382,22398.926353294173,2.0984585315664925e+07,2.100698424201822e+07
[26 13 12],[w a r],2323,22543.811493353656,2.0989721756281905e+07,2.1012265567775257e+07
[26 13 16],[w a s],10415,22101.18055303697,2.095565839435041e+07,2.0977759574903447e+07
[26 16 3],[w s  ],953,22408.11539247055,2.0991140758681756e+07,2.1013548874074224e+07
[26 17 0],[w i t],8581,22202.216202915144,2.0962221867891457e+07,2.098442408409437e+07
[26 17 6],[w i l],2881,22278.27299037024,2.0982324082439158e+07,2.100460235542953e+07
[26 17 8],[w i n],1692,22439.07690401355,2.099569211405488e+07,2.1018131190958895e+07
[26 17 16],[w i s],733,22291.64341724477,2.099348757742043e+07,2.101577922083767e+07
[27 2 0],[b e t],1303,22220.676919378584,2.0987016931082793e+07,2.100923760800217e+07
[27 2 2],[b e e],2662,22207.197409046592,2.098120228157921e+07,2.1003409478988256e+07
[27 2 3],[b e  ],6691,22735.79746057639,2.099715543198715e+07,2.1019891229447726e+07
[27 2 4],[b e f],1030,22003.618431850013,2.098927847679091e+07,2.101128209522276e+07
[27 2 6],[b e l],1297,22445.617536344576,2.099232939508836e+07,2.1014775012624703e+07
[27 2 9],[b e c],1716,22159.557136231146,2.0989281992880337e+07,2.1011441550016567e+07
[27 2 11],[b e g],740,22084.918458558222,2.099060947062462e+07,2.1012694389083177e+07
[27 2 12],[b e r],2973,22568.8357031251,2.098701684695463e+07,2.1009585682657752e+07
[27 2 13],[b e a],790,22317.129901356253,2.0993085716050293e+07,2.101540284595165e+07
[27 2 14],[b e d],667,22374.160822155933,2.099426470027249e+07,2.1016638861094646e+07
[27 2 16],[b e s],678,22313.373440340987,2.099438373715377e+07,2.101669711059411e+07
[27 2 17],[b e i],781,22087.21746272024,2.0991357285233237e+07,2.1013444502695955e+07
[27 5 0],[b u t],4955,22292.930287444422,2.097204264600873e+07,2.0994335576296173e+07
[27 5 12],[b u r],826,22516.84283156681,2.0992521621631935e+07,2.1015038464463502e+07
[27 5 16],[b u s],707,22282.368128977083,2.099321193732548e+07,2.101549430545446e+07
[27 6 2],[b l e],5081,22392.888649991408,2.0974501492998127e+07,2.099689438164812e+07
[27 6 10],[b l y],849,22070.722676137866,2.099221521144058e+07,2.101428593411672e+07
[27 6 17],[b l i],1553,22286.23159732237,2.098889619790499e+07,2.1011182429502312e+07
[27 7 0],[b o t],1007,22185.154545104615,2.099117142888478e+07,2.1013356583429884e+07
[27 7 5],[b o u],2159,22285.732806703312,2.0983382348398842e+07,2.1005668081205547e+07
[27 7 12],[b o r],991,22424.83083458242,2.0992359176284935e+07,2.1014784007119518e+07
[27 7 13],[b o a],629,22379.907814173457,2.099078518930791e+07,2.1013165097122084e+07
[27 7 14],[b o d],737,22202.280922016154,2.098854291423654e+07,2.101074519515856e+07
[27 10 3],[b y  ],5616,22916.463987427935,2.0987354550159678e+07,2.1010271014147107e+07
[27 12 2],[b r e],621,22411.601605370084,2.0992792920195695e+07,2.1015204521801066e+07
[27 12 7],[b r o],1341,22442.56366972652,2.0989461642920632e+07,2.101190420659036e+07
[27 12 13],[b r a],742,22435.35518273402,2.0992720341281105e+07,2.101515569646384e+07
[27 12 17],[b r i],1262,22521.206163501425,2.0991420775140375e+07,2.1013941981303878e+07
[27 13 6],[b a l],724,22402.766654490722,2.099282675216826e+07,2.1015229518822752e+07
[27 13 8],[b a n],852,22421.830392923872,2.099268796654281e+07,2.1015109796935733e+07
[27 13 9],[b a c],1335,22466.82240011202,2.0986136534535207e+07,2.100860335693532e+07
[27 13 12],[b a r],766,22468.699297777395,2.0993088952118937e+07,2.1015557651416715e+07
[27 13 16],[b a s],952,22221.089433159836,2.09920590994888e+07,2.101428018892196e+07
[27 15 2],[b j e],624,21955.77061264574,2.098672911983296e+07,2.1008684890445605e+07
[27 17 0],[b i t],650,22290.295794745,2.099293793352765e+07,2.1015228229322392e+07
[27 17 6],[b i l],1235,22290.18718248544,2.0988400250876024e+07,2.101069043805851e+07
[28 2 3],[z e  ],657,22541.257403508884,2.0993953859405003e+07,2.101649511680851e+07
[28 2 14],[z e d],774,22060.237995541916,2.099157052201485e+07,2.101363076001039e+07
[29 5 2],[q u e],1690,22394.597964151824,2.0987272246831264e+07,2.1009666844795417e+07
[29 5 13],[q u a],1300,22363.576687137524,2.098931344795867e+07,2.101167702464581e+07
[29 5 17],[q u i],1876,22377.236128085555,2.0984725989150856e+07,2.100710322527894e+07
[39 39 3],[0 0  ],807,22570.773580227222,2.099290836781655e+07,2.1015479141396776e+07
[41 3 41],[;   ;],2783,21773.051385571027,2.0965577372988608e+07,2.0987350424374178e+07
[0 0 2 8],[t t e n],640,22058.38501513953,2.0990595844787464e+07,2.1012654229802605e+07
[0 0 2 12],[t t e r],1953,22213.749179214126,2.0981085028557617e+07,2.100329877773683e+07
[0 0 6 2],[t t l e],1375,22138.190191398895,2.0981516538193036e+07,2.1003654728384435e+07
[0 0 17 8],[t t i n],682,21992.13170990023,2.098957292846812e+07,2.101156506017802e+07
[0 1 2 3],[t h e  ],70018,22991.038300598215,2.0757537544872835e+07,2.0780528583173435e+07
[0 1 2 8],[t h e n],1503,22175.087769369416,2.099405128447795e+07,2.101622637224732e+07
[0 1 2 10],[t h e y],3768,22032.478508054017,2.097978991207152e+07,2.1001822390579574e+07
[0 1 2 12],[t h e r],9214,22462.692654030776,2.098359625814622e+07,2.100605895080025e+07
[0 1 2 16],[t h e s],1751,22231.477112699828,2.099183765348406e+07,2.101406913059676e+07
[0 1 2 17],[t h e i],2701,22021.47461428734,2.0973733938403774e+07,2.0995755413018063e+07
[0 1 2 21],[t h e m],2179,21989.06550371045,2.0987138327560168e+07,2.1009127393063877e+07
[0 1 3 0],[t h   t],2326,22476.648831364764,2.0986952597497825e+07,2.100942924632919e+07
[0 1 3 1],[t h   h],699,22333.98359863233,2.099211003026912e+07,2.101444401386775e+07
[0 1 3 7],[t h   o],672,22600.361978891295,2.0992492337138828e+07,2.101509269911772e+07
[0 1 3 13],[t h   a],1875,22719.035119917393,2.098879825428592e+07,2.1011517289405838e+07
[0 1 3 16],[t h   s],605,22621.57375262412,2.0992726265798163e+07,2.1015347839550786e+07
[0 1 7 5],[t h o u],2127,22207.69625158926,2.0985218159745954e+07,2.1007425855997544e+07
[0 1 7 16],[t h o s],858,22019.95026959879,2.0989549111899767e+07,2.1011569062169366e+07
[0 1 12 2],[t h r e],947,22051.95525248523,2.0988447738273334e+07,2.1010499693525817e+07
[0 1 12 7],[t h r o],1398,22239.525163833052,2.0985440516194474e+07,2.1007680041358307e+07
[0 1 13 0],[t h a t],10793,21976.562077494837,2.0943451117092904e+07,2.09654276791704e+07
[0 1 13 8],[t h a n],1969,22230.625155506073,2.099207375348533e+07,2.1014304378640834e+07
[0 1 17 8],[t h i n],3233,22182.476184126688,2.098582317318561e+07,2.1008005649369735e+07
[0 1 17 16],[t h i s],5146,22133.043852615996,2.0978194865129285e+07,2.10003279089819e+07
[0 2 3 0],[t e   t],857,22206.359095873628,2.0993676558168102e+07,2.1015882917263977e+07
[0 2 3 7],[t e   o],638,22201.618883504892,2.0992688815198235e+07,2.101489043408174e+07
[0 2 3 13],[t e   a],729,22279.71485153469,2.099391386769728e+07,2.1016193582548816e+07
[0 2 6 6],[t e l l],601,22145.17276128824,2.099221446268325e+07,2.1014359635444537e+07
[0 2 6 10],[t e l y],675,21960.622797044765,2.099119562083258e+07,2.1013156243629627e+07
[0 2 8 0],[t e n t],924,22226.255643930872,2.099100635872871e+07,2.101323261437264e+07
[0 2 8 3],[t e n  ],940,22661.5827124911,2.0991985624403264e+07,2.1014647207115754e+07
[0 2 8 14],[t e n d],638,22206.55979925223,2.09924676196274e+07,2.1014674179426655e+07
[0 2 12 2],[t e r e],1081,22187.1342106054,2.098983431041566e+07,2.1012021444626264e+07
[0 2 12 3],[t e r  ],5692,22908.9563855682,2.0975715786537856e+07,2.0998624742923424e+07
[0 2 12 8],[t e r n],1007,22178.498247235028,2.0987842670412637e+07,2.1010021168659873e+07
[0 2 12 16],[t e r s],1153,22491.953341818946,2.09904917931405e+07,2.101298374648232e+07
[0 2 12 17],[t e r i],950,22320.601770288195,2.099116887018036e+07,2.101348947195065e+07
[0 2 12 21],[t e r m],780,22228.927841255958,2.0989623297091074e+07,2.101185222493233e+07
[0 2 14 3],[t e d  ],8504,22741.0530375921,2.097628495761507e+07,2.099902601065266e+07
[0 2 16 0],[t e s t],736,22256.55032097327,2.099274527882017e+07,2.101500182914114e+07
[0 2 16 3],[t e s  ],1895,22671.2221105061,2.0991223874457277e+07,2.1013895096567784e+07
[0 2 21 20],[t e m p],671,22055.005741904122,2.0989942105491795e+07,2.10119971112337e+07
[0 3 0 1],[t   t h],9625,22332.314649981505,2.0977323213412873e+07,2.0999655528062854e+07
[0 3 0 7],[t   t o],3138,22494.798522997917,2.0982156637919553e+07,2.100465143644255e+07
[0 3 1 2],[t   h e],1839,22376.78768837743,2.0992382824899293e+07,2.101475961258767e+07
[0 3 1 13],[t   h a],1751,22491.901019530596,2.0987937757636603e+07,2.1010429658656135e+07
[0 3 1 17],[t   h i],1133,22396.696161764896,2.0990109873351533e+07,2.10125065695133e+07
[0 3 4 7],[t   f o],1249,22403.880678061338,2.098983193362754e+07,2.10122358143056e+07
[0 3 6 2],[t   l e],646,22425.891054939744,2.0991273771671657e+07,2.1013699662726596e+07
[0 3 7 4],[t   o f],5102,22255.858975636467,2.0972556211463887e+07,2.0994812070439525e+07
[0 3 7 8],[t   o n],1569,22352.80819693692,2.0990653225946363e+07,2.10130060341433e+07
[0 3 8 7],[t   n o],721,22440.743547718048,2.099025081847793e+07,2.1012691562025648e+07
[0 3 9 7],[t   c o],1460,22651.879837226465,2.0991694886072293e+07,2.101434676590952e+07
[0 3 9 13],[t   c a],665,22420.146706648502,2.0993222312082138e+07,2.1015642458788786e+07
[0 3 12 2],[t   r e],1043,22582.56865027551,2.0991152102566484e+07,2.101373467121676e+07
[0 3 13 3],[t   a  ],1700,22654.77723363068,2.0990503584187634e+07,2.1013158361421265e+07
[0 3 13 6],[t   a l],930,22417.69474532409,2.099206769980042e+07,2.1014485394545745e+07
[0 3 13 8],[t   a n],2340,22472.810545948007,2.0990095922239836e+07,2.1012568732785784e+07
[0 3 13 16],[t   a s],801,22379.38249462854,2.099339710522966e+07,2.101577648772429e+07
[0 3 14 2],[t   d e],607,22540.91517318727,2.0992640480197854e+07,2.1015181395371042e+07
[0 3 16 0],[t   s t],727,22348.5604554106,2.0992734259805568e+07,2.101508282026098e+07
[0 3 16 1],[t   s h],726,22306.27853249151,2.0992360090489957e+07,2.1014666369022448e+07
[0 3 16 2],[t   s e],801,22454.29915175458,2.0991840124330938e+07,2.1014294423482694e+07
[0 3 17 0],[t   i t],1389,22296.472014745792,2.0989024313889388e+07,2.1011320785904136e+07
[0 3 17 8],[t   i n],2785,22555.403107533875,2.0989490489613295e+07,2.101204589272083e+07
[0 3 17 16],[t   i s],2543,22308.203702622282,2.0984975883276563e+07,2.1007284086979184e+07
[0 3 19 19],[t   XXX XXX],1416,22369.2972803148,2.0991041465510488e+07,2.1013410762790803e+07
[0 3 20 12],[t   p r],768,22271.90710215491,2.0992438523231264e+07,2.101471043033342e+07
[0 3 21 13],[t   m a],1003,22578.634872505474,2.0992079104932465e+07,2.1014657739804972e+07
[0 3 23 0],[t   . t],921,22404.20410875946,2.099270609875069e+07,2.101511030285945e+07
[0 3 25 3],[t   ,  ],4705,22809.304868351155,2.0995011601949852e+07,2.1017820906818204e+07
[0 3 26 1],[t   w h],940,22267.614880301695,2.0993288488691688e+07,2.101555610357199e+07
[0 3 26 2],[t   w e],730,22383.45563240412,2.0993569224271767e+07,2.101595267990417e+07
[0 3 26 7],[t   w o],766,22311.2823088717,2.0992010915501326e+07,2.10143221978102e+07
[0 3 26 13],[t   w a],2430,22353.367497090283,2.0984451131845508e+07,2.1006804499342598e+07
[0 3 26 17],[t   w i],1102,22401.708395827223,2.09915978583616e+07,2.101399956675743e+07
[0 3 27 2],[t   b e],1892,22527.922908713084,2.0990566128126357e+07,2.101309405103507e+07
[0 5 12 2],[t u r e],2259,22203.537826878335,2.0983866713880684e+07,2.100607025170756e+07
[0 5 12 8],[t u r n],1108,22201.791882164664,2.0985753171760514e+07,2.100795496364268e+07
[0 5 13 6],[t u a l],691,22120.25850147178,2.0988400132944513e+07,2.1010520391445983e+07
[0 5 14 2],[t u d e],607,21960.95458018513,2.0989398663799495e+07,2.101135961837968e+07
[0 6 2 3],[t l e  ],1397,22603.688199514752,2.098516622392651e+07,2.1007769912126027e+07
[0 6 10 3],[t l y  ],1942,22714.356358949004,2.0986156839306824e+07,2.1008871195665773e+07
[0 7 3 0],[t o   t],5822,22355.892980160683,2.096841498361063e+07,2.0990770876590792e+07
[0 7 3 1],[t o   h],1719,22202.49467741417,2.098753649705308e+07,2.1009738991730493e+07
[0 7 3 2],[t o   e],847,22274.869481144866,2.098935646035855e+07,2.1011631329839695e+07
[0 7 3 4],[t o   f],804,22085.178371268037,2.099100513765392e+07,2.101309031602519e+07
[0 7 3 6],[t o   l],725,22045.179404042516,2.099076994867577e+07,2.1012815128079813e+07
[0 7 3 9],[t o   c],1367,22172.538994224287,2.0988955693541035e+07,2.1011128232535258e+07
[0 7 3 11],[t o   g],909,22101.246430252766,2.098909895164383e+07,2.101120019807408e+07
[0 7 3 12],[t o   r],1161,22121.81324169145,2.0988294330231823e+07,2.1010416143473513e+07
[0 7 3 13],[t o   a],2384,22356.66850418164,2.0986825720448807e+07,2.100918238895299e+07
[0 7 3 14],[t o   d],1255,22089.61279369981,2.0987203094692234e+07,2.1009292707485933e+07
[0 7 3 16],[t o   s],2283,22400.729007729937,2.0984422495597545e+07,2.1006823224605273e+07
[0 7 3 17],[t o   i],688,22202.743955657057,2.0992256694053575e+07,2.1014459438009232e+07
[0 7 3 20],[t o   p],1303,22147.936096701153,2.098908643942402e+07,2.101123437552072e+07
[0 7 3 21],[t o   m],1316,22137.43997733291,2.0988874222160786e+07,2.101101166213812e+07
[0 7 3 26],[t o   w],759,22198.812813071167,2.099211312871315e+07,2.101431194152622e+07
[0 7 3 27],[t o   b],2477,22174.35989391713,2.0981983445925184e+07,2.10041578058191e+07
[0 7 7 3],[t o o  ],833,22408.58081199267,2.0990787983926445e+07,2.1013196564738438e+07
[0 7 8 3],[t o n  ],1011,22853.399922284374,2.0992461860647973e+07,2.1015315260570258e+07
[0 7 12 3],[t o r  ],1119,22549.150287387823,2.099237004182092e+07,2.1014919192108307e+07
[0 7 12 10],[t o r y],869,22190.878970377715,2.0990836616470657e+07,2.1013027495441034e+07
[0 7 12 16],[t o r s],653,22185.664016319453,2.0992048736462645e+07,2.1014234400478967e+07
[0 9 1 2],[t c h e],643,22117.444999813873,2.0990691096085735e+07,2.101280854108555e+07
[0 10 3 7],[t y   o],1040,22275.25059466412,2.098850012740878e+07,2.1010775378003445e+07
[0 10 3 13],[t y   a],623,22393.671950999717,2.099257404580983e+07,2.101496771776083e+07
[0 10 3 23],[t y   .],709,22571.95850474981,2.0991831528143413e+07,2.1014403486648165e+07
[0 10 3 25],[t y   ,],725,22137.019550660865,2.099220611680896e+07,2.101434313635962e+07
[0 12 5 9],[t r u c],724,22009.896367831512,2.098629252163677e+07,2.1008302418004602e+07
[0 12 10 3],[t r y  ],899,22491.880260772763,2.0991853016651094e+07,2.1014344896911867e+07
[0 12 13 0],[t r a t],823,22060.9069667917,2.098908528382517e+07,2.101114619079196e+07
[0 12 13 8],[t r a n],845,22200.00484355841,2.09901999316834e+07,2.1012399936526958e+07
[0 12 13 9],[t r a c],629,22174.141571733686,2.0990099288548425e+07,2.101227343012016e+07
[0 12 13 17],[t r a i],751,22071.54297898616,2.098950731011725e+07,2.1011578853096236e+07
[0 12 17 9],[t r i c],680,22216.985991757432,2.0990384426015787e+07,2.1012601412007544e+07
[0 13 0 2],[t a t e],2090,22123.628524586165,2.0981458901428618e+07,2.1003582529953204e+07
[0 13 0 17],[t a t i],1218,22230.117703124954,2.0987954842739232e+07,2.1010184960442357e+07
[0 13 6 3],[t a l  ],1023,22545.555357163896,2.0991417182288863e+07,2.101396273764603e+07
[0 13 8 0],[t a n t],1034,22224.112722422302,2.098953333591224e+07,2.101175744863466e+07
[0 13 8 9],[t a n c],750,22103.909555614166,2.0988998903066117e+07,2.101110281262173e+07
[0 13 8 14],[t a n d],899,22005.498126861294,2.0989999162678707e+07,2.1012004660805568e+07
[0 13 12 10],[t a r y],626,21985.80611436085,2.0990592417674728e+07,2.101257822378909e+07
[0 13 17 8],[t a i n],1708,22269.883991903866,2.0983558938691366e+07,2.100582882268327e+07
[0 13 22 2],[t a k e],1153,22192.188526005582,2.098795551167324e+07,2.1010147700199246e+07
[0 13 27 6],[t a b l],1054,22226.064813617857,2.0987904482921813e+07,2.101013054773543e+07
[0 16 3 0],[t s   t],863,22324.77179808564,2.0992524700255595e+07,2.101484947205368e+07
[0 16 3 7],[t s   o],1436,22373.519502775118,2.098820861956765e+07,2.1010582139070425e+07
[0 16 3 13],[t s   a],1339,22516.072509327805,2.0991351309671175e+07,2.10138673821805e+07
[0 16 3 17],[t s   i],660,22332.146591226305,2.09921803264022e+07,2.1014512472993426e+07
[0 16 3 23],[t s   .],1001,22700.182486132595,2.099134192690402e+07,2.101404210939015e+07
[0 16 3 25],[t s   ,],1073,22223.605340443875,2.0991644824350208e+07,2.101386842969065e+07
[0 16 3 26],[t s   w],691,22289.266432596018,2.099249111750328e+07,2.1014780383935876e+07
[0 17 0 5],[t i t u],650,22096.267132832407,2.0989266284276072e+07,2.1011362551408906e+07
[0 17 2 16],[t i e s],1436,22324.792395419146,2.0985762337223373e+07,2.1008087129618794e+07
[0 17 6 6],[t i l l],903,22245.855212547467,2.0988812678810246e+07,2.1011058534022793e+07
[0 17 7 8],[t i o n],17595,22280.8886599942,2.0857355137479827e+07,2.087963602613982e+07
[0 17 8 11],[t i n g],4381,22379.891754192617,2.0981171684960265e+07,2.1003551576714456e+07
[0 17 9 3],[t i c  ],1530,22586.482001108052,2.0987169692637548e+07,2.1009756174638655e+07
[0 17 9 13],[t i c a],950,22188.900257934474,2.0989741456605982e+07,2.1011930356863916e+07
[0 17 13 6],[t i a l],652,22029.38538510443,2.09900739411476e+07,2.1012103326532703e+07
[0 17 18 2],[t i v e],2476,22194.647406013377,2.0984765253309432e+07,2.1006959900715444e+07
[0 17 21 2],[t i m e],2447,22379.97551372896,2.098489994121211e+07,2.100727991672584e+07
[0 19 16 3],[t XXX s  ],1001,22691.496214885643,2.0989320748029195e+07,2.101201224424408e+07
[0 21 2 8],[t m e n],832,22076.55232413,2.09856396724742e+07,2.1007716224798333e+07
[0 26 2 2],[t w e e],737,21908.919091790918,2.0984138675544534e+07,2.1006047594636325e+07
[0 26 7 3],[t w o  ],1429,22536.061482098918,2.0984710154116385e+07,2.1007246215598483e+07
[1 2 3 0],[h e   t],4139,22222.111081271036,2.099486175532718e+07,2.1017083866408452e+07
[1 2 3 1],[h e   h],3951,22085.327419729696,2.098911128289811e+07,2.1011196610317837e+07
[1 2 3 2],[h e   e],3008,22287.08184173444,2.0985287919445172e+07,2.1007575001286905e+07
[1 2 3 4],[h e   f],4574,22160.982253624512,2.0984310433668412e+07,2.100647141592204e+07
[1 2 3 5],[h e   u],1506,22123.149324099635,2.0988669783091664e+07,2.1010792932415765e+07
[1 2 3 6],[h e   l],3151,22069.384629281198,2.0986408124425024e+07,2.1008477509054303e+07
[1 2 3 7],[h e   o],2618,22436.821948086363,2.0993046144561026e+07,2.101548296650911e+07
[1 2 3 8],[h e   n],2512,22130.949828442535,2.0985119537722073e+07,2.1007250487550516e+07
[1 2 3 9],[h e   c],7076,22293.13324798825,2.0980664815633804e+07,2.100295794888179e+07
[1 2 3 11],[h e   g],2339,22138.94546906899,2.0987921848341417e+07,2.1010060793810487e+07
[1 2 3 12],[h e   r],3830,22152.134270374776,2.0984951470682003e+07,2.1007103604952376e+07
[1 2 3 13],[h e   a],4136,22441.606898759805,2.099520068098012e+07,2.101764228787888e+07
[1 2 3 14],[h e   d],3836,22179.446668877754,2.098403848859839e+07,2.100621793526727e+07
[1 2 3 16],[h e   s],9444,22334.135616914453,2.097192471865266e+07,2.099425885426957e+07
[1 2 3 17],[h e   i],2409,22265.78638067265,2.0993770305268846e+07,2.1016036091649517e+07
[1 2 3 18],[h e   v],983,21989.14975981666,2.0991459566971026e+07,2.1013448716730844e+07
[1 2 3 20],[h e   p],6052,22154.316217466854,2.098183369462363e+07,2.1003988010841098e+07
[1 2 3 21],[h e   m],4584,22147.60240817092,2.0985943784294546e+07,2.1008091386702716e+07
[1 2 3 22],[h e   k],823,22202.038173973466,2.0991519523799405e+07,2.1013721561973378e+07
[1 2 3 26],[h e   w],5539,22142.224117724934,2.098723375908076e+07,2.1009375983198486e+07
[1 2 3 27],[h e   b],3726,22166.46432401351,2.0990289569296595e+07,2.1012456033620607e+07
